session_id,target
1,0.0012698560585782037
2,2.736926057539511e-07
3,4.767585417496816e-10
4,5.375990987429106e-10
5,0.0007922601694045826
6,9.939994912661433e-05
7,0.015565783641780996
8,0.002002693566482902
9,0.00034605565736379497
10,0.09890921219597856
11,0.00019581490199135622
12,3.831185146155743e-06
13,0.0006468360257466884
14,0.5149931862770052
15,0.0005204163148106593
16,0.0021135553565313123
17,0.39504774873063303
18,6.693241669619071e-06
19,0.005800539232724155
20,3.839628745043908e-07
21,0.4881162357465703
22,6.315548086428696e-08
23,0.0001061121678644952
24,0.0054361460250801135
25,0.7781034676354575
26,1.4495630695956292e-08
27,0.00020139115316705232
28,2.0409521011846177e-09
29,0.3378028924682806
30,0.00394969647943708
31,0.3834366198335081
32,0.388471977626231
33,0.0003297403108007155
34,3.613154907173227e-08
35,0.535641662698521
36,0.0010222206877973702
37,2.2118791968748349e-13
38,1.4931661437443916e-07
39,0.0005846106602906453
40,8.30420319987122e-06
41,0.0030743370512157195
42,0.1799309302263904
43,5.98341743914248e-06
44,2.7358289774780348e-05
45,0.99955330357465
46,0.00018824136144366703
47,0.002984518169794332
48,5.7180396057330606e-05
49,9.762567573150774e-05
50,2.0236508415257254e-07
51,1.9648593595051725e-10
52,1.2917965336373948e-05
53,0.48794944314130734
54,0.0009161923142355677
55,5.839646293341216e-05
56,0.1339289083848222
57,1.8959315356289056e-08
58,3.267664569103205e-06
59,3.419591314505069e-05
60,2.2431832156192033e-06
61,5.454971648055183e-07
62,0.00039549063604989875
63,3.817184154786828e-06
64,0.00022974650893810465
65,1.098121208770844e-05
66,1.6198719024615896e-06
67,6.681910672093599e-05
68,0.004417429246110568
69,0.7357603768085061
70,4.833989479849366e-05
71,0.007495688900738723
72,0.0018081877662301906
73,0.9339784747203962
74,1.4719896633452185e-05
75,0.0006519393099940684
76,0.002018065636542391
77,0.0036136433452749602
78,0.05303961458169786
79,1.848112582757219e-05
80,0.00010635681356610283
81,4.295910235895335e-06
82,0.001508028986423336
83,2.9544433756978338e-09
84,0.9713833077741627
85,2.263074545365444e-05
86,2.580097785554e-06
87,0.05982329748111133
88,0.004361326620517368
89,0.008250290623428703
